Name;URL;Contributors;Code;Total Lines;Projects;Blanks;Comments;Commits
Limbo;/languages/75;60;2249944;2539527;75;190240;99343;1128
Clojure;/languages/80;131;38440;47067;38;6574;2053;2518
Eiffel;/languages/60;388;6275446;8178716;164;1140433;762837;77011
modula3;/languages/82;2;80;116;3;20;16;3
Boo;/languages/26;208;180998;258290;158;39262;38030;4128
Haskell;/languages/38;1772;2950024;4055602;920;537382;568196;82524
Automake;/languages/50;20994;5559385;7847350;9667;1283839;1004126;678804
Classic Basic;/languages/59;105;51416;55692;89;2565;1711;486
Fortran (Fixed-format);/languages/40;1212;25986573;30032721;597;1542809;2503339;34395
Tcl;/languages/25;2731;13324110;19263602;1241;2518818;3420674;116785
Structured Basic;/languages/58;543;3884019;4720700;396;579698;256983;10864
shell script;/languages/11;57153;141029568;180286345;34721;17637607;21619170;1044886
Objective-C;/languages/16;6555;20878929;29977577;3842;4822999;4275649;261154
Java;/languages/5;78098;921373701;1564831542;44068;208686754;434771087;6334194
CUDA;/languages/84;64;74197;116525;43;20987;21341;880
Pike;/languages/43;563;1760616;2986325;50;408569;817140;86531
DOS batch script;/languages/13;24423;-109173300;-108407199;18234;385997;380104;149014
BlitzMax;/languages/68;41;300105;630684;35;136315;194264;2417
XML;/languages/3;133183;1360685233;1444684454;88167;47455920;36543301;4117303
VHDL;/languages/57;270;2649655;3288871;170;291278;347938;2781
Lisp;/languages/22;1140;8308471;10776479;672;1312363;1155645;91593
HTML;/languages/1;106012;831577441;975180721;68481;101287167;42316113;3569340
Nix;/languages/71;45;66543;91149;21;19413;5193;9857
OpenGL Shading;/languages/69;998;357852;622292;718;134032;130408;6694
C++;/languages/44;61831;956435749;1447753638;27448;218314478;273003411;5595074
ChaiScript;/languages/85;2;727;879;2;137;15;74
ClearSilver;/languages/31;205;50561;56511;57;4684;1266;2648
CSS;/languages/4;72060;104313061;129520527;51086;16046935;9160531;882220
Erlang;/languages/28;714;6684204;9434162;439;1123445;1626513;37688
C/C++;/languages/7;4627;45110875;64641470;229;8731582;10799013;148240
XAML;/languages/67;1687;2544566;2788575;1599;157275;86734;24085
Rexx;/languages/24;95;113423;174488;68;29507;31558;526
R;/languages/65;1428;2868196;3362805;980;260133;234476;37604
DCL;/languages/45;1666;852157;1230404;938;72611;305636;8228
Puppet;/languages/86;50;7100;9015;18;1401;514;408
HaXe;/languages/66;240;837005;1244381;169;147454;259922;8323
Pascal;/languages/14;3071;64245769;85187716;2067;10024647;10917300;164984
Objective-J;/languages/70;217;293754;381581;109;47248;40579;2567
XML Schema;/languages/35;11950;51079641;55370999;7867;1793333;2498025;90993
TeX/LaTeX;/languages/37;10686;23986757;32704296;5957;5408866;3308673;201184
Smalltalk;/languages/39;292;810903;1191242;186;222274;158065;2572
CMake;/languages/74;5291;1810558;2730336;2337;420800;498978;137452
IDL/PV-WAVE/GDL;/languages/76;1861;1015411;1541165;1118;185528;340226;21406
Dylan;/languages/33;62;1471540;1921899;9;256780;193579;6937
C#;/languages/17;22198;194694928;284170420;14299;34366660;55108832;956581
Visual Basic;/languages/15;3734;15473149;21248160;2877;2744004;3031007;56705
Emacs Lisp;/languages/10;2979;14635015;19290459;1473;1930940;2724504;200550
Assembly;/languages/19;7971;82516559;103340891;3948;8683062;12141270;153177
Factor;/languages/62;86;269438;349445;9;64409;15598;15188
Lua;/languages/27;3590;28200080;34074335;2066;3163410;2710845;132239
Vala;/languages/34;318;529182;745611;169;110299;106130;20813
AWK;/languages/18;2686;1496647;1762707;1681;96929;169131;12520
MetaFont;/languages/46;19783;1821164;2040560;15464;161330;58066;189360
Perl;/languages/8;27308;93627570;160461291;14710;30483368;36350353;1199537
MetaPost;/languages/47;193;7720222;8629750;127;892384;17144;10293
C;/languages/42;78023;1726253783;2472505438;32814;324600740;421650915;7947485
PHP;/languages/2;36952;561850169;917082496;20230;104197015;251035312;2751427
