1;bocsimacko;Hungary;Other;Lisp;3765;
2;_iouri_;Canada;Other;C++;3565;
3;Slin-.-;Sweden;Lund University;Java;3524;
4;_Astek_;Poland;Other;C#;3501;
5;jimrogerz;United States;Microsoft;C#;3500;
6;Accoun;Russian Federation;Other;C++;3498;
7;george;United Kingdom;Other;C++;3494;
8;GreenTea;Ukraine;Dnipropetrovsk National University;Java;3489;
9;asavis;Ukraine;Other;Java;3480;
10;bix0r4ever;Germany;Other;Java;3476;
11;protocolocon;Spain;Rufes Band;C++;3469;
12;dmj111;United States;Other;Python;3467;
13;davidjliu;United States;Other;Python;3463;
14;Raschi;Switzerland;Other;Java;3459;
15;BaronTrozo;Spain;Rufes Band;C++;3441;
16;thedreamer;South Africa;Other;C++;3439;
17;wagstaff;United Kingdom;Other;Haskell;3431;
18;medrimonia;France;University of Bordeaux 1;Python;3424;
19;smloh1;United States;Other;Java;3422;
19;shangas;Finland;Other;Python;3422;
21;Mangara;Canada;Carleton University;Java;3421;
22;felixcoto;Spain;Other;Java;3415;
23;oldman;China;Other;Java;3405;
24;ChrisH;United States;Other;Java;3401;
25;goldman;United States;Missouri S&T;C++;3396;
26;CorwinAlex;Ukraine;Other;C#;3394;
27;sajmon;Poland;Techland;C#;3384;
28;luksian;Russian Federation;Other;C++;3383;
28;Neverstu;Canada;Other;C++;3383;
30;Polsky;Russian Federation;Other;C++;3381;
31;jambachili;United States;Other;C++;3371;
31;Manwe56;France;Other;Java;3371;
33;rsergio;Russian Federation;Other;Java;3370;
34;hutabhu;Russian Federation;Other;C++;3359;
35;kyunez;Russian Federation;Bauman Moscow State Technical University;Java;3351;
36;antimatroid;Australia;University of Tasmania (Australia);C++;3344;
37;DarkEmi;France;Other;Java;3343;
38;joakim_mjardner;Sweden;Other;C++;3337;
39;Xrillo;Sweden;Other;C++;3336;
40;FlameN;Belarus;Other;C++;3334;
41;barabanus;Ukraine;Other;C++;3332;
42;VictorRG;Denmark;Vodafone;Java;3324;
43;Barefoot_Halibut;United States;Other;Java;3323;
44;ClusterTeam;Ukraine;National Technical University of Ukraine "KPI";C#;3317;
45;McLeopold;United States;Other;Python;3313;
46;mogron;Germany;UniversitÃ¤t Freiburg;C++;3312;
47;deccan;Malaysia;Other;Java;3309;
48;sin_sun;Russian Federation;Other;C++;3308;
49;Jimsbot;Canada;Other;Python;3304;
50;Hazard;Belarus;Other;C++;3302;
51;dabino;Russian Federation;Other;Java;3301;
52;flowerbot;United States;Other;C;3300;
53;RebelXT;United States;Other;Python;3297;
54;bhasker;United States;Yahoo;Python;3296;
55;Fill_the_Missing;India;IIT Madras;Python;3294;
55;malex81;Russian Federation;Moscow State University;C++;3294;
55;isittime;India;Other;Python;3294;
58;savchenko;Ukraine;Dnipropetrovsk National University;Java;3292;
59;Silver_S;Russian Federation;Other;C#;3291;
60;oojikujiba;India;Other;Python;3289;
61;fglider;Latvia;Latvia State University;C++;3286;
61;Doraj8;France;Other;C;3286;
63;rs5147;Ukraine;Other;Java;3280;
63;__PMP__;Belgium;Other;Python;3280;
65;Ice_Harley;Ukraine;Other;C#;3279;
66;ssieb0;Canada;Other;Python;3275;
67;qotile;United States;Other;Java;3274;
67;murrayr;United Kingdom;Other;C++;3274;
67;nextgeneration;Russian Federation;Other;Java;3274;
70;smiley1983;Australia;Other;OCaml;3269;
71;meneky;Spain;Rufes Band;C++;3268;
72;DarthMasta;Portugal;Other;C#;3266;
73;kkholm;Finland;Other;Java;3265;
73;tunasilver;Sweden;Other;Python;3265;
75;medved;Ukraine;Moscow Institute of Physics and Technology;Java;3264;
76;TheMacca;United States;Other;C++;3263;
77;Mistmanovx;Netherlands;Vrije Univ. Amsterdam;C++;3259;
78;Error323;Netherlands;University of Amsterdam;C++;3258;
78;Meatkat;Burkina Faso;Other;Python;3258;
80;sir_macelon;Poland;Other;Java;3255;
81;BetterThanBose;India;IIT Madras;Python;3252;
82;luismi;Spain;Other;Java;3251;
83;cobracom;Israel;Other;Python;3248;
84;jwkvam;United States;University of Wisconsin at Madison;Python;3243;
84;MrFlibble;France;Other;Java;3243;
84;jason_k;Russian Federation;Other;C#;3243;
84;bpellom;United States;Other;C++;3243;
88;cfaftw;United States;Other;Python;3238;
88;grinblatd;Russian Federation;Other;Java;3238;
90;gsikorski;Poland;AGH UST;Java;3237;
91;FlagCapper;Canada;Other;C++;3235;
91;nikiburny;Canada;Other;C++;3235;
93;ruilov;Brazil;Other;Java;3234;
94;Boojum;France;Other;Java;3232;
94;kaerun;South Korea;Other;C++;3232;
96;kevlar;United States;University of Washington;Java;3230;
97;lordap;Poland;Techland;C++;3228;
97;jitanus;United States;Other;Java;3228;
99;letscwhat;India;Other;Python;3225;
100;openchl;France;Other;C;3223;
101;lorchel;Germany;Other;Python;3221;
102;trinhanhminh1405;Viet Nam;Other;PHP;3217;
103;codeRage;United States;California Institute of Technology;Java;3215;
103;dhavalshreyas;United States;Other;Python;3215;
105;makhan;Poland;AGH UST;C++;3214;
105;sidi09;India;DA-IICT;Java;3214;
105;novastar;Netherlands;Guerrilla Games;Python;3214;
108;EBraun;United States;THQ;C++;3213;
109;ProtoUkr;Ukraine;National Technical University of Ukraine "KPI";Java;3211;
109;netwalker2000;Spain;Rufes Band;C#;3211;
111;Wiseowl;Ukraine;Other;Java;3209;
112;exaide;Russian Federation;Ufa State Aviation Technical University;Java;3207;
113;pocreot;Russian Federation;Other;Java;3206;
113;skalkin;United States;Other;C#;3206;
115;Cr33z_PL;Poland;Techland;C++;3205;
116;Neakris;Russian Federation;Lobachevsky State University;Java;3204;
117;vazhev_alex;Russian Federation;Other;Java;3202;
118;xpctxpeer;India;Other;Python;3200;
118;ofrias;Spain;Trabber.com;Java;3200;
120;Arekku;Sweden;Malardalens University;Java;3199;
121;Celica;Denmark;Other;Python;3198;
122;ludakris;United States;ThoughtWorks;Java;3196;
123;vscheele;Germany;Other;Java;3195;
124;NF-700;Germany;RWTH Aachen University;Python;3193;
125;asbadrobot;France;University of Bordeaux 1;Java;3192;
126;chotting;South Korea;Other;C++;3190;
126;MarkPerv;Russian Federation;Other;C++;3190;
126;MariusCG;Romania;Other;C++;3190;
129;Alvraro;Spain;Other;Java;3189;
130;oddshrimp;United States;Other;Haskell;3184;
131;Drifter;United States;Other;C++;3183;
132;dimkadimon;Australia;Other;Java;3182;
133;Alocaly;France;Other;Python;3178;
134;sighbot;Australia;Other;C++;3177;
135;sequoh;Germany;Other;C++;3176;
136;freizh;France;Parrot SA;Java;3173;
137;Cosmopolitan;United States;Other;Java;3171;
138;krokkrok;United States;Other;Java;3170;
139;angy.volin.me;Ukraine;Other;Java;3169;
139;bubbadawg;United States;Other;Java;3169;
139;RoadToKommunizm;Ukraine;Other;Java;3169;
142;djstrong;Poland;AGH UST;Python;3164;
143;adumlah;United States;Other;Python;3160;
144;evja08;United States;IBM;C++;3158;
144;Vogons;France;Other;C++;3158;
144;aurickQ;Canada;University of Waterloo;C++;3158;
147;TrilceAC;Spain;FCAB;Python;3155;
147;Naktibalda;United Kingdom;Other;PHP;3155;
149;eburnette;United States;Other;Java;3154;
150;DracoAter;Estonia;Other;C++;3153;
151;brunswick;Russian Federation;Other;Java;3152;
152;jonoff;United States;Missouri S&T;Python;3151;
153;Ender3;Canada;;C++;3150;
153;i_ito_;Japan;Other;C++;3150;
155;Xayide;Spain;Rufes Band;C++;3148;
155;bayazit;Russian Federation;Ufa State Aviation Technical University;Java;3148;
157;kokocok;Ukraine;Other;PHP;3137;
158;voidptr;United States;Other;C++;3136;
159;Renard;Germany;Vodafone;Java;3135;
160;k3rb3ros;Canada;University of Waterloo;C++;3134;
161;gorogm;Hungary;Other;C#;3133;
162;ntroPi;Germany;Other;C++;3131;
162;MarcAndrePC;Canada;Other;Java;3131;
162;alpha666;France;Other;C++;3131;
165;karpizin;Russian Federation;Other;Java;3130;
165;Rexxar;France;Other;C++;3130;
165;hexist;United States;Other;Javascript;3130;
168;Lithosphere;Belgium;Alcatel-Lucent Bell;C++;3129;
169;smartrus;Russian Federation;Other;Java;3123;
170;bogusbrainpower;United States;Other;Python;3120;
170;kcm1700;South Korea;Other;C++;3120;
172;JonathanFly;United States;Other;Python;3116;
173;Simplex;Russian Federation;Lobachevsky State University;Java;3115;
173;Braithy85;United Kingdom;Other;C#;3115;
175;SloppyBot;Netherlands;Guerrilla Games;C++;3113;
176;kordem;Spain;Other;C#;3111;
176;delineate;United States;Other;C++;3111;
178;yegite;Canada;Other;Java;3110;
179;steckinc;Russian Federation;Other;Haskell;3109;
180;user42;Germany;Other;Java;3108;
181;JohannesDoll;Germany;Other;C++;3107;
181;0x0badc0de;Russian Federation;Other;C++;3107;
181;mnkybtlrbot;United Kingdom;Other;Python;3107;
184;Hero87;Macedonia;Other;Java;3106;
185;ZikZik;Finland;Other;C++;3105;
186;SpaceBison;Russian Federation;Other;C++;3102;
187;Doggettx;Netherlands;Other;C#;3100;
188;teutski;New Zealand;Other;Java;3097;
189;enseirb_g12;France;UniversitÃ© Bordeaux 1;C;3095;
190;alexlim;Russian Federation;Other;C++;3094;
191;Semyglass;Russian Federation;Other;C#;3091;
191;_geot_;Hungary;Other;Ruby;3091;
193;rangzen;France;Other;Java;3090;
193;NmdSnprEnigma;United States;Other;Ruby;3090;
193;Sickle;Russian Federation;Other;C#;3090;
196;Beduin;Russian Federation;Other;Java;3089;
197;extrapostrophe;Sweden;Lund University;Java;3087;
197;golfin;Czech Republic;Masaryk University ;C++;3087;
199;chriso;Canada;THQ;C++;3085;
200;mago10;Spain;INSA Toulouse, France;Java;3083;
201;seventh;France;Other;Python;3082;
202;Shisoik;Russian Federation;Moscow State University;Java;3081;
203;Longing;Russian Federation;Other;Java;3079;
203;tellary;Russian Federation;Other;Java;3079;
203;TerryVB;United States;Google Inc;Java;3079;
206;Xhilbert;France;Other;C++;3077;
206;BoO13t;France;UniversitÃ© Bordeaux 1;C;3077;
206;alien21;Poland;AGH UST;Java;3077;
206;santa324;Russian Federation;Moscow State University;Java;3077;
210;Witman;Poland;Other;C++;3074;
210;mjormotor;Japan;;C++;3074;
212;TomyMMX;Slovenia;Other;C#;3067;
213;margoth;Finland;Other;Java;3066;
214;cylons;France;Other;C++;3065;
215;Guili_66;France;Parrot SA;Python;3064;
216;locutus;Germany;Other;C++;3063;
216;EagLe_DaSheR;Belgium;Alcatel-Lucent Bell;Java;3063;
218;phillc;United States;ThoughtWorks;Javascript;3061;
218;UweTUDD;Germany;TU Dresden;Java;3061;
220;bucephalus2;United States;Other;C++;3060;
221;ademar;Canada;Other;C#;3058;
222;Panda81;Belarus;Other;C#;3057;
223;Cthulhu;Germany;Karlsruhe Institute of Technology;C#;3054;
224;Noobster;Russian Federation;Other;C#;3053;
225;amram99;United States;Other;Java;3052;
226;Zpazeboy;Denmark;Vodafone;Java;3051;
226;barnik;Russian Federation;Other;C++;3051;
228;luisjavier.lopez;Spain;Rufes Band;C++;3050;
229;gerald512k;France;Other;Java;3049;
229;joanpujol;European Union;Other;Java;3049;
231;smatcher;France;INSA Toulouse, France;C++;3048;
231;regolith;United States;IBM;Java;3048;
233;Ouroboros;Spain;Universidad Carlos III de Madrid;Java;3047;
233;siconize;Germany;Other;C#;3047;
235;jukkerknott;Canada;University of Victoria;Java;3045;
236;paulus;South Africa;Other;Java;3044;
237;Bordeaux1M1ISM;France;University of Bordeaux 1;Python;3043;
237;salar2k;Iran;Other;C#;3043;
239;john2020;United States;Other;Java;3041;
240;cwbowron;United States;TechSmith;C++;3040;
241;fujiyama;Japan;Other;C#;3039;
241;Tomzini;United Kingdom;Other;C#;3039;
243;virdoo;Canada;Other;Python;3036;
243;nick_l;Canada;Other;Java;3036;
245;f0rbidik;Russian Federation;Other;Python;3034;
246;vallentin;Russian Federation;Other;C++;3031;
247;Mozgotrade;Russian Federation;Saint-Petersburg State University;C#;3029;
247;Sar315;Russian Federation;Other;C#;3029;
249;Svetlichny;Russian Federation;Other;C#;3027;
249;Droopy;France;Other;Java;3027;
251;JamesMG;United States;Other;C#;3022;
252;Sigilium;Hong Kong;Other;C++;3021;
253;JimmyPerchet;France;Parrot SA;Java;3020;
253;someidiot;Australia;Other;C++;3020;
